date,close,high,low,open,volume
2024-01-29,107.76000213623047,108.43000030517578,105.86000061035156,108.4000015258789,2330300
2024-01-30,105.29000091552734,106.16999816894531,103.75,104.70999908447266,2428400
2024-01-31,105.30999755859375,107.61000061035156,103.31999969482422,103.58999633789062,2001900
2024-02-01,104.9800033569336,107.5199966430664,104.9000015258789,106.31999969482422,1963200
2024-02-02,102.79000091552734,103.7300033569336,102.16000366210938,103.68000030517578,2395100
2024-02-05,103.61000061035156,104.29000091552734,102.05000305175781,102.7300033569336,2070500
2024-02-06,107.55999755859375,108.33999633789062,105.13999938964844,107.19999694824219,3693900
2024-02-07,105.30000305175781,106.33000183105469,104.16000366210938,104.75,3053400
2024-02-08,103.16999816894531,104.9000015258789,102.87000274658203,104.62000274658203,1906900
2024-02-09,105.69000244140625,105.77999877929688,102.88999938964844,103.55999755859375,1875900
2024-02-12,106.70999908447266,109.08000183105469,106.4000015258789,106.47000122070312,1750500
2024-02-13,103.80999755859375,106.0,103.29000091552734,104.93000030517578,1631900
2024-02-14,106.70999908447266,107.06999969482422,105.01000213623047,105.62000274658203,2367200
2024-02-15,106.83999633789062,107.0199966430664,105.55000305175781,106.13999938964844,1427900
2024-02-16,107.12000274658203,109.66000366210938,107.05999755859375,108.80000305175781,1957600
2024-02-20,105.54000091552734,106.5,104.5,106.3499984741211,1978800
2024-02-21,107.22000122070312,108.69999694824219,106.58000183105469,107.0999984741211,3273400
2024-02-22,110.58999633789062,111.87999725341797,106.8499984741211,108.44999694824219,5588300
2024-02-23,111.36000061035156,112.79000091552734,110.02999877929688,112.0199966430664,3842000
2024-02-26,110.58999633789062,111.4800033569336,110.05000305175781,110.77999877929688,2858000
2024-02-27,112.36000061035156,114.11000061035156,111.41000366210938,112.06999969482422,6067700
2024-02-28,103.30999755859375,108.08999633789062,103.25,107.8499984741211,11392200
2024-02-29,101.33000183105469,104.0,100.8499984741211,103.06999969482422,7489300
2024-03-01,104.0199966430664,104.75,102.5,102.5,3765200
2024-03-04,100.72000122070312,103.05000305175781,100.36000061035156,103.0,4629300
2024-03-05,98.25,100.30000305175781,98.16000366210938,98.61000061035156,3789800
2024-03-06,99.37999725341797,100.88999938964844,99.13999938964844,100.05000305175781,3788500
2024-03-07,97.80999755859375,98.87999725341797,96.58000183105469,98.77999877929688,3646400
2024-03-08,98.2699966430664,99.7699966430664,97.98999786376953,98.20999908447266,2326200
2024-03-11,101.29000091552734,102.51000213623047,100.06999969482422,100.30000305175781,3297700
2024-03-12,105.2699966430664,105.55000305175781,102.5999984741211,103.23999786376953,4533200
2024-03-13,107.88999938964844,111.0199966430664,107.80999755859375,108.0,4797400
2024-03-14,104.63999938964844,106.2699966430664,103.81999969482422,106.12000274658203,2693000
2024-03-15,103.86000061035156,104.94999694824219,103.62000274658203,103.94000244140625,1970300
2024-03-18,104.7699966430664,105.33000183105469,103.91000366210938,104.1500015258789,1673000
2024-03-19,104.16999816894531,104.2699966430664,102.70999908447266,104.0,1541800
2024-03-20,103.88999938964844,105.30999755859375,102.7699966430664,104.72000122070312,2428200
2024-03-21,101.69999694824219,103.69999694824219,101.6500015258789,103.58000183105469,2564200
2024-03-22,102.18000030517578,105.69999694824219,101.33000183105469,105.68000030517578,6098000
2024-03-25,105.66000366210938,105.98999786376953,102.01000213623047,104.33000183105469,6544800
2024-03-26,103.66000366210938,106.58000183105469,103.5999984741211,104.56999969482422,4040400
2024-03-27,104.98999786376953,105.0,102.52999877929688,102.69000244140625,3087500
2024-03-28,105.27999877929688,107.33000183105469,104.97000122070312,105.94999694824219,3016200
2024-04-01,108.44000244140625,109.25,106.62999725341797,107.0,3001700
2024-04-02,108.52999877929688,109.12999725341797,106.54000091552734,107.0,2000300
